title,box_off_num
엄마는 창녀다,12685.95031376821
위험한 상견례,1182252.6257087144
간증,16179.499812641814
"사랑한다, 사랑하지 않는다",127404.2262641671
"혜화, 동",211141.60018868346
글러브,1208037.323351259
가문의 귀환,909663.7513218366
잔혹한 앵글의 로망스,119900.12060941823
나의 PS 파트너,882352.3795765729
롤플레이,250646.27566465727
마티나,17843.826026084007
음치 클리닉,955713.1672233262
남영동1985,100241.8839951501
돈 크라이 마미,456245.7080641409
반드시 크게 들을 것 2 : Wild Days,39202.66329816365
범죄소년,110849.46367440501
내가 살인범이다,988775.0474098714
터치,105680.0386327146
늑대소년,1230076.3350860595
맥코리아,12321.347992088706
용의자X,1226734.4318970847
하나안,31964.441584218806
투 올드 힙합 키드,12832.024371362892
한경직,9502.352380476057
미운오리새끼,306796.8563507934
황제펭귄 펭이와 솜이,28502.603848927956
두 개의 문,4965.332225275191
I AM,433758.82252044266
후궁 : 제왕의 첩,884153.8975978893
"안녕, 하세요!",100430.12343175529
천국의 아이들,10071.94350349381
할머니는 일학년,14844.687777340223
두레소리,7110.372732158002
"봄, 눈",21370.47522120948
은교,92148.99614292469
간기남,661930.5763102535
시체가 돌아왔다,870779.778129937
말하는 건축가,92772.27532900084
밀월도 가는 길,16154.798712797356
파파,466957.7401915007
점박이:한반도의 공룡3D,189290.51203794873
댄싱퀸,1016950.591187845
누구의 딸도 아닌 해원,18426.6068556411
신세계,1198496.223760473
굿바이 홈런,34907.58087082408
불륜의 시대,7820.0450106227645
남쪽으로 튀어,808047.2789155645
좋은 친구들,1214427.9286179205
지슬 - 끝나지 않은 세월 2,7088.4283207051085
누구나 제 명에 죽고 싶다,31064.56986484844
사이코메트리,768946.7155660278
환상속의 그대,36997.25078409057
몽타주,877079.156404192
"힘내세요, 병헌씨",46839.18968083347
꼭두각시,16142.299573841554
홀리,24615.914340550207
마이 라띠마,569164.130508234
더 테러 라이브,837359.2699666488
슈퍼피쉬 - 끝없는 여정,16290.44530773469
콩가네,13104.181287103875
허풍,43488.10489089631
젊은 엄마,3562.803158679823
노라노,27966.741413442414
노브레싱,166070.01917136737
말하는 건축 시티:홀,97004.06625954
댄서김의 은밀한 교수법,9969.95879013185
소원,391061.86883930524
고양이 소녀,17887.23767697913
롤플레이 2 : 동침,34580.797827075345
동창생,1571717.4377644625
용의자,1360992.1970318449
미녀전쟁,283495.89243114373
캐치미,553863.6433997791
그 강아지 그 고양이,104939.11539365495
화려한 외출,249372.0199201173
오하이오 삿포로,26840.64507945838
마이 리틀 히어로,737086.2241039728
박수건달,985318.4248879439
배꼽,477339.7570203326
나가요 미스콜,6776.606303183904
우아한 거짓말,837886.5565842263
미스터 컴퍼니,10297.08640181433
우리별 일호와 얼룩소,164333.1663797558
찌라시: 위험한 소문,1277395.736453823
조선미녀삼총사,1338187.8866545882
만찬,23439.269694442708
한 번도 안 해본 여자,28824.907142786225
살인자,27736.701842132625
  이것이 우리의 끝이다,16068.937799370578
그댄 나의 뱀파이어,27989.244301943272
황제를 위하여,1173468.3282631612
레디액션! 폭력영화,7524.435544639004
스퀴시랜드,161475.27748547558
우는 남자,1972160.32980274
하이힐,1595494.3966936583
도희야,522770.4441507977
표적,2004476.8000938278
10분,89978.15554037632
메이크 유어 무브,35225.64538396535
카토 프로젝트,19260.436804522516
녀녀녀,44467.977813595215
방황하는 칼날,1782932.903837093
바리새인,17273.47837741408
욕망의 독: 중독,6679.217654111239
설계,21012.090355199547
레쓰링,70705.36389850988
원 컷 - 어느 친절한 살인자의 기록,4407.209891997735
픽업 아티스트,122726.46590790723
옹녀뎐,14159.676847174522
왓니껴,34355.290966855915
족구왕,447632.58741138235
내 연애의 기억,19613.514914941465
바세코의 아이들,16331.626614729488
명량,2040508.7062679187
군도: 민란의 시대,2041976.554788883
산타바바라,88544.41443153696
나는 야한 여자가 좋다,2952.683513909078
숙희,5000.003374557849
더 테너 리리코 스핀토,448214.5045445382
기술자들,2137121.166699667
신화 라이브 3D 더 레전드 컨티뉴스,345266.08612827933
악사들,107005.00642396651
울언니,164030.9714580089
정사: 위험한 성적유희,166542.76099865208
레디액션 청춘,828049.3477755636
"제자, 옥한흠",79024.99496231474
환상,15138.901300902859
위층여자,14761.881771998229
가자! 장미여관으로 3 - 방황,12915.744578249187
나는 야한 여자가 좋다 3,2952.683513909078
스물,1777764.5056143806
그라운드의 이방인,97207.27367616072
살인의뢰,1951321.233208339
살인캠프,7495.0064854924785
헬머니,1531207.3123785956
조류인간,19167.950774574092
최강전사 미니특공대 : 새로운 악당의 습격,165074.5334648219
생각보다 맑은,149950.777343269
고양이 장례식,52295.28358773551
설해,65954.27168503436
나의 절친 악당들,932947.6003500262
연평해전,1257339.856966268
극비수사,958046.6450822098
성난 화가,13708.671302913257
은밀한 유혹,1401118.060214552
혜경궁 홍씨,6631.477968864632
무뢰한,1484848.9693335174
간신,1821104.696035069
연애의 맛,855493.2702755901
잡식가족의 딜레마,24238.713192013136
플랑크 상수,16658.17759225585
장수상회,1859666.3691798034
파울볼,16604.723174879848
춘희막이,4234.005264505408
덫: 치명적인 유혹,15271.393222736131
션샤인 러브,8436.42326542153
사도,1665843.4914762208
돼지 같은 여자,18213.389100192337
사랑이 이긴다,25976.36671599468
슈퍼레이서 엔지,702747.7005694609
제 7기사단,4001.6947541223476
고백,4189.374878384471
미쓰 와이프,931571.3292292655
위로공단,16412.280533429646
베테랑,2080156.113406322
악인은 살아 있다,76175.09873907517
쓰리 썸머 나잇,1223682.1940044381
마돈나,55314.10307528065
"나의 아들, 나의 어머니",324187.83801659464
슬픈남자,98815.90868896796
타이밍,210478.7658544346
타투,273501.23378188605
어떤이의 꿈,31400.363617964173
해에게서 소년에게,181050.83593512076
울보 권투부,5793.625188594223
어떤살인,443921.0768706069
말하지 못한 비밀,18328.068815574883
조선안방 스캔들-칠거지악 2,4240.881034059163
